ID	DOCULECT	FORM	CONCEPT	COGID	MORPHEMES	NOTE	PROTOSET	PROTOFORM	APBM	BASICVOCABULARY
503	Bora	amɯ́ʔá tʰɯ́poo-kʷa	YOUR BOW 	168			218	*amɨɨʔai tɨɨbu-ga		
504	Muinane	amɨ́ɨ́ʔai tɨ́ɨ́bu-ga 	YOUR BOW 	168			218	*amɨɨʔai tɨɨbu-ga		
505	PBoM	dii-to tɨɨbu-ga	THEIR BOW 	169			219	*dii-to tɨɨbu-ga		
506	Bora	tíítʰʲe tʰɯ́poo-kʷa	THEIR BOW 	169			219	*dii-to tɨɨbu-ga		
507	Muinane	dííto tɨ́ɨ́bu-ga 	THEIR BOW 	169			219	*dii-to tɨɨbu-ga		
508	PBoM	mita-no,giraa	BIG  	170			220	*mita-no,*giraa	*mita-ne, *giraa-ne, *kee-(pi)-ne, (bókkɯ-ne), (…)	Leipzig-Jakarta, Swadesh
509	Bora	mitʰʲa-ne 	BIG  	170	big-inan 	Note: see 262, ʧija	220	*mita-no,*giraa		Leipzig-Jakarta, Swadesh
510	Muinane	mítʲa-no 	BIG  	170	big-inan, gíráa-no 		220	*mita-no,*giraa		Leipzig-Jakarta, Swadesh
511	PBoM	nume-	SMALL  	171			221	*nume-	*nomɨ-(nɨ-nɨ), (áxáíʦo-ne-gayɯ), (áyá-né-gayɯ, áirá-né-gayɯ), (ɯʔxéné-gayɯ), (čoʔxɯ), (ɯ́ɯ́gɯ́yiɯ)	Leipzig-Jakarta, Swadesh
512	Bora	ɲomɨ	SMALL  	171			221	*nume-		Leipzig-Jakarta, Swadesh
513	Muinane	núménéne 	SMALL  	171			221	*nume-		Leipzig-Jakarta, Swadesh
514	PBoM	ʦɨɨku	COLD  	172			222	*ʦɨɨku	*ʦɯɯ́ko, (dáíʔkoó)	Swadesh
515	Bora	ʦʰɯɯ́kʰo	COLD  	172			222	*ʦɨɨku		Swadesh
516	Muinane	sɨ́ɨ́ku 	COLD  	172			222	*ʦɨɨku		Swadesh
517	PBoM	aiguukku	HOT  	173			223	**aiguukku	*áígookkó-né, (péémeβako-ne), (gánókóó-ne, gánékóó-ne)	Swadesh
518	Bora	aʧóókʰó	HOT  	173			223	**aiguukku		Swadesh
519	Muinane	áígúkku-no 	HOT  	173	hot-inan 		223	**aiguukku		Swadesh
520	PBoM	imi	GOOD  	174			224	*imi	*imí-ne, *imí-(gayɯ), *(ɨ́mɨáá)-ne	Leipzig-Jakarta, Swadesh
521	Bora	imí	GOOD  	174			224	*imi		Leipzig-Jakarta, Swadesh
522	Muinane	ími-no 	GOOD  	174	good-inan 		224	*imi		Leipzig-Jakarta, Swadesh
523	PBoM	imi-tɨ-no	BAD 	175			225	*imi-tɨ-no	*ími-tɯ́-ne	
524	Bora	ími-tʰʲɯ́-ne 	BAD 	175	good-neg-inan		225	*imi-tɨ-no		
525	Muinane	ími-tɨ-no 	BAD 	175			225	*imi-tɨ-no		
526	PBoM	ʦeʦee	WHITE  	176			226	*ʦeʦee	*ʦɨ́ʦɨɨ-ne	Swadesh
527	Bora	ʦʰɨʦʰɨ	WHITE  	176			226	*ʦeʦee		Swadesh
528	Muinane	sésééne 	WHITE  	176			226	*ʦeʦee		Swadesh
529	PBoM	kɨβo-	BLACK  	177			227	*kɨβo-	*kɯ́βe-ne, (báttɯne)	Leipzig-Jakarta, Swadesh
530	Bora	kʰɯɯ́βe-ne	BLACK  	177			227	*kɨβo-		Leipzig-Jakarta, Swadesh
531	Muinane	kɨ́βo-no 	BLACK  	177	black-inan 	Note =328 	227	*kɨβo-		Leipzig-Jakarta, Swadesh
532	PBoM	di-po	GO!  	178			228	*di-po	*dí-pe	Leipzig-Jakarta
533	Bora	tí-pʰʲe 	GO!  	178	imp-go		228	*di-po		Leipzig-Jakarta
534	Muinane	diɸó 	GO!  	178			228	*di-po		Leipzig-Jakarta
535	PBoM	di-ʦaa	COME! 	179			229	*di-ʦaa	*dí-ʦaa	
536	Bora	tí-ʧʰa 	COME! 	179	imp-come		229	*di-ʦaa		
537	Muinane	di-sáá 	COME! 	179	imp-come 		229	*di-ʦaa		
538	PBoM	maʧʧu	EAT! 	180			230	*maʧʧu	*maččoó	Leipzig-Jakarta
539	Bora	máhʧʰoó	EAT! 	180			230	*maʧʧu		Leipzig-Jakarta
540	Muinane	maʧʧú 	EAT! 	180		Note =275 	230	*maʧʧu		Leipzig-Jakarta
541	PBoM	d-aduu	DRINK! 	181			231	*d-aduu	*d-ádoó	Leipzig-Jakarta
542	Bora	t-átoó 	DRINK! 	181	imp-drink		231	*d-aduu		Leipzig-Jakarta
543	Muinane	d-adú 	DRINK! 	181			231	*d-aduu		Leipzig-Jakarta
544	PBoM	kɨga	SLEEP! 	182			232	*kɨga	*kɯ́gá	Leipzig-Jakarta
545	Bora	kʰɯ́kʷáá	SLEEP! 	182			232	*kɨga		Leipzig-Jakarta
546	Muinane	kɨgá 	SLEEP! 	182		Note =79,81,280 	232	*kɨga		Leipzig-Jakarta
547	PBoM	iiʔgai-noo	FRONT TEETH,INCISORS 	183			234	*iiʔgai-noo	*(pɨɨneéné) *(mé)-ííʔgai-neé, (di-xéxé-ba) ííʔgai-neé	
548	Bora	íʔkʷa-ɲeé 	FRONT TEETH,INCISORS 	183	tooth-pl		234	*iiʔgai-noo		
549	Muinane	ííga-ɲo 	FRONT TEETH,INCISORS 	183			234	*iiʔgai-noo		
550	PBoM	nehe-()-nih()kk()	TIP OF TONGUE 	184			235	*nehe-()-nih()kk()	*(mé)-ʔnɨ́xɨ́-(gá)-nɨx(ɨ)k(áɯ)	Leipzig-Jakarta
551	Bora	méʔ-nɨ́hɨ́-kʷá-nɨhkʰá-ɯ 	TIP OF TONGUE 	184	our-tongue-cl:plank-end-cl:round		235	*nehe-()-nih()kk()		Leipzig-Jakarta
552	Muinane	néhe-ba-niheke 	TIP OF TONGUE 	184	tongue-cl-end 		235	*nehe-()-nih()kk()		Leipzig-Jakarta
553	PBoM	niiga	LONG HAIR 	185			236	*niiga	*(mɨ́ɨ́baigi), *nííga()	
554	Bora	nííkʷa-kʰo 	LONG HAIR 	185	head-cl		236	*niiga		
555	Muinane	níga-ɨ-heene 	LONG HAIR 	185	head-cl-hair 	Note: see 8 	236	*niiga		
556	PBoM	nokkɨ-	LOWER ARM 	186			240	*nokkɨ-	*(mé)-nékkɯ́-(gaʦítto) {20}	
557	Bora	néhhɯ́-kʷa-ʦʰíhtʰʲo 	LOWER ARM 	186	side-cl:plank-?		240	*nokkɨ-		
558	Muinane	nókkɨ 	LOWER ARM 	186	arm 		240	*nokkɨ-		
559	PBoM	ʔutʦe-kkohe	WRIST 	187			241	*ʔutʦe-kkohe	*(mé)-ʔóʦɨ-(k)kéxɨ, (ʦɨɨmé ɨ́ɨ́kɯ)	
560	Bora	ʔóʦʰɨ-hkʰéhɨ 	WRIST 	187	hand-wrist		241	*ʔutʦe-kkohe		
561	Muinane	úse-kehe 	WRIST 	187			241	*ʔutʦe-kkohe		
562	PBoM	takki-	LOWER LEG 	188			242	*takki-	*(mé)-tákki-(ɯ), (xóonoga, xéenoga)	
563	Bora	tʰáhkʰii	LOWER LEG 	188			242	*takki-		
564	Muinane	tákkijɨ 	LOWER LEG 	188			242	*takki-		
565	PBoM	iʔhee-no	BODY HAIR 	189			243	*iʔhee-no	*ɨ́ʔxɨɨ-ne {270}	
566	Bora	ɨ́ʔhɨne	BODY HAIR 	189			243	*iʔhee-no		
567	Muinane	íhéene 	BODY HAIR 	189		Note =270, see 10’ 	243	*iʔhee-no		
568	PBoM	iiʔba	STOMACH 	190			244	*iiʔba	*(mé)-íiʔbá(ɯ) {272,245}, (xɨ́ɨbɯɯ), *(mé-ke)-máččo-(ɯ), *maččo-(xota)	
569	Bora	íʔpáɯ	STOMACH 	190			244	*iiʔba		
570	Muinane	íiba 	STOMACH 	190		Note = 16,245,272 	244	*iiʔba		
571	PBoM	iiʔba	INTESTINES 	191			245	*iiʔba	*(mé)-íiʔbá(ɯ)	
572	Bora	íʔpáɯ	INTESTINES 	191			245	*iiʔba		
573	Muinane	íiba 	INTESTINES 	191		Note =16,244,272 	245	*iiʔba		
574	PBoM	koomo-go	OLD WOMAN 	192			246	*koomo-go	(ámia-ʦa), *kééme-ge {47,347}	
575	Bora	kʰééme-ʧe 	OLD WOMAN 	192	old-fem.sg		246	*koomo-go		
576	Muinane	kóómo-go 	OLD WOMAN 	192		Note: see 347 	246	*koomo-go		
577	PBoM	gaikkuʔai,-pagi	CORN FIELD 	193			249	*gaikkuʔai,*-pagi	*gáíkkoʔai, (pági), (ɯ́mɨʔe) {83}	
578	Bora	kʷáhkʰʲoʔa, -pʰáʧi	CORN FIELD 	193			249	*gaikkuʔai,*-pagi		
579	Muinane	gáíkkuʔai, ɸági 	CORN FIELD 	193			249	*gaikkuʔai,*-pagi		
580	PBoM	too-ʔi	STREAM 	194			250	*too-ʔi	*tée-ʔi-(gayɯ) {river-line-small,49,71}, *téé-(gai-ʔo), (pákaáxa)	
581	Bora	tʰéé-ʔi 	STREAM 	194	river-cl		250	*too-ʔi		
582	Muinane	tée-ʔi 	STREAM 	194			250	*too-ʔi		
583	PBoM	n()gai-ɨʔai	PEBBLES 	195			251	*n()gai-ɨʔai	*(xíí)-négaiyɯ́-ʔái, *négaiyɯ́(-gɯ́ɯ́né) {73,74,252}, (gííʦiɯ)	Leipzig-Jakarta
584	Bora	nékʷa-jɯ́ɯ́ʔá 	PEBBLES 	195	stone-grains		251	*n()gai-ɨʔai		Leipzig-Jakarta
585	Muinane	híínɨgai-jɨʔai 	PEBBLES 	195		Note =74 	251	*n()gai-ɨʔai		Leipzig-Jakarta
586	PBoM	hɨɨ()ai	PATH 	196			253	*hɨɨ()ai	*xɯɯ́-()	
587	Bora	hɯɯ́βa	PATH 	196			253	*hɨɨ()ai		
588	Muinane	hɨ́ɨ́ʔai 	PATH 	196			253	*hɨɨ()ai		
589	PBoM	nɨɨh()-ga	SHELTER 	197			255	*nɨɨh()-ga	*nɯ́ɯ́xɯ-ga, *(iixó)-ga	
590	Bora	nɯ́ɯ́hɯ-kʷa 	SHELTER 	197	?-cl:plank		255	*nɨɨh()-ga		
591	Muinane	nɨ́ɨ́he-ga 	SHELTER 	197			255	*nɨɨh()-ga		
592	PBoM	hi-	THIS  	198			256	*hi-	*xíneé, *xi(xɨ), (áánɯɯ́), (ááímeé), (eéne)	Leipzig-Jakarta, Swadesh
593	Bora	í-ɲeé 	THIS  	198	here-inan		256	*hi-		Leipzig-Jakarta, Swadesh
594	Muinane	hí-no 	THIS  	198			256	*hi-		Leipzig-Jakarta, Swadesh
595	PBoM	hoʔ-	THAT  	199			257	*hoʔ-	*xe(ʔ)é-ne, (teé-), (diíbe) {204}, (áánɯɯ́)	Swadesh
596	Bora	éʔ-neé 	THAT  	199	there-inan		257	*hoʔ-		Swadesh
597	Muinane	hóʔo-no 	THAT  	199			257	*hoʔ-		Swadesh
598	PBoM	mɨ-,ka-	WHO  	200			258	*mɨ-,*ka-	?*ka(aitéʔa)-xaa-, *mɯ́-(ʔa)-xa	Leipzig-Jakarta, Swadesh
599	Bora	mɯ́ʔa, kʰaatʰʲéʔa	WHO  	200			258	*mɨ-,*ka-		Leipzig-Jakarta, Swadesh
600	Muinane	mɨ́hɨ́, káháánɨ, káháámo 	WHO  	200		Note: *mɨ́- ‘who’, *ká- ‘which’ 	258	*mɨ-,*ka-		Leipzig-Jakarta, Swadesh
601	PBoM	ʦaʔa,-tɨ	NOT  	201			260	*ʦaʔa,*-tɨ	*(-tɯ), *ʦáʔaá-(ne)	Leipzig-Jakarta, Swadesh
602	Bora	ʦʰáʔaá, -tʰɯ	NOT  	201			260	*ʦaʔa,*-tɨ		Leipzig-Jakarta, Swadesh
603	Muinane	ʧáʔano, -tɨ 	NOT  	201			260	*ʦaʔa,*-tɨ		Leipzig-Jakarta, Swadesh
604	PBoM	pa-no	ALL  	202			261	*pa-no	((p)airɯɯ-kɯ-ne), *pamere, *pa-nee-(re)	Swadesh
605	Bora	pʰá-neé-re 	ALL  	202	all-inan-rest		261	*pa-no		Swadesh
606	Muinane	ɸáá-no 	ALL  	202	all-inan 		261	*pa-no		Swadesh
607	PBoM	mita-	MANY  	203			262	*mita-	*míta-(ne), (gíráá-me), (ʦíítɯ), (ɨʔnáʔo)	Swadesh
608	Bora	mítʰʲa-ne 	MANY  	203	many-inan		262	*mita-		Swadesh
609	Muinane	mítʲa 	MANY  	203	power 	Note: see 220 	262	*mita-		Swadesh
610	PBoM	kaamo-	LONG  	204			263	*kaamo-	*kááme(-βe)-ne	Leipzig-Jakarta, Swadesh
611	Bora	kʰááme-ne 	LONG  	204	long-inan		263	*kaamo-		Leipzig-Jakarta, Swadesh
612	Muinane	káámo-βo-no 	LONG  	204	long-?-inan 		263	*kaamo-		Leipzig-Jakarta, Swadesh
613	PBoM	-meeʔu	BARK  	205			264	*-meeʔu	*(koo)-mɨ́ɨ́ʔo, (ɯ́méʔé) *(ʔaǰɯ́e)-mɨ́ɨ́ʔo	Swadesh
614	Bora	-mɨ́ɨ́ʔo	BARK  	205			264	*-meeʔu		Swadesh
615	Muinane	kuu-mééʔu 	BARK  	205	wood-shell 		264	*-meeʔu		Swadesh
616	PBoM	ʔookuu,duu	FLESH  	206			265	*ʔookuu,*duu	*éékoó, *doó-(xeʔe), *(táí)-do, (aʦímɯ)	Leipzig-Jakarta, Swadesh
617	Bora	ʔéékʰoó, toó	FLESH  	206			265	*ʔookuu,*duu		Leipzig-Jakarta, Swadesh
618	Muinane	úúku, dúúhoʔo 	FLESH  	206			265	*ʔookuu,*duu		Leipzig-Jakarta, Swadesh
619	PBoM	tɨɨ-	BLOOD 	207			266	*tɨɨ-	*tɯ́ɯ́-(xéʔe), *tɯ́ɯ́-(ppaiko)	
620	Bora	tʰɯ́-hpʰakʰʲo 	BLOOD 	207	red-cl:liquid		266	*tɨɨ-		
621	Muinane	tɨ́ɨ́-hóʔo 	BLOOD 	207	red-? 	Note =33 	266	*tɨɨ-		
622	PBoM	dɨɨrɨ-ba	GREASE  	208			267	*dɨɨrɨ-ba	*dɯ́ɯrɯba	Swadesh
623	Bora	tɯ́ɯ́rɯ-pa 	GREASE  	208	grease-cl:liquid		267	*dɨɨrɨ-ba		Swadesh
624	Muinane	dɨ́ɨrɨ-ba 	GREASE  	208		Note =479 	267	*dɨɨrɨ-ba		Swadesh
625	PBoM	iiʔɨ	EGG  	209			268	*iiʔɨ	*ííʔyɯ́ɯ	Leipzig-Jakarta, Swadesh
626	Bora	ííʔʲɯ́ɯ-ɯ́ 	EGG  	209	?-cl:round		268	*iiʔɨ		Leipzig-Jakarta, Swadesh
627	Muinane	ííjɨ 	EGG  	209			268	*iiʔɨ		Leipzig-Jakarta, Swadesh
628	PBoM	-ttu	HORN  	210			269	-ttu	*(óka)-(x)ítto, (iyáábetto)	Leipzig-Jakarta, Swadesh
629	Bora	-htʰo 	HORN  	210			269	-ttu		Leipzig-Jakarta, Swadesh
630	Muinane	íttu 	HORN  	210		Note: see 462 	269	-ttu		Leipzig-Jakarta, Swadesh
631	PBoM	i-hee-no	FEATHER  	211			270	*i-hee-no	*ɨ́xɨɨ-ne {243}	Swadesh
632	Bora	ɨ́ʔhɨne	FEATHER  	211			270	*i-hee-no		Swadesh
633	Muinane	íhéene 	FEATHER  	211		Note =243,316, see 10 	270	*i-hee-no		Swadesh
634	PBoM	ʔutʦe-gai-meeʔu	CLAW  	212			271	*ʔutʦe-gai-meeʔu	*(mé)-ʔótʦɨ́-gai-mɨ́ɨʔo, *(aʦi)-ʔótʦɨ́-gai-mɨ́ɨʔo	Swadesh
635	Bora	ʔóhʦʰɨ́-kʷa-mɨ́ɨ́ʔo 	CLAW  	212	hand-cl:plank-cl:shell		271	*ʔutʦe-gai-meeʔu		Swadesh
636	Muinane	asi-ʔúsé-gai-méeʔu 	CLAW  	212	animal-hand-cl:plank-cl:shell 		271	*ʔutʦe-gai-meeʔu		Swadesh
637	PBoM	iiʔba	BELLY  	213			272	*iiʔba	*(mé)-íiʔbá(ɯ), (xɯ́ɨbɯɯ) {244}	Swadesh
638	Bora	íʔpáɯ	BELLY  	213			272	*iiʔba		Swadesh
639	Muinane	íiba 	BELLY  	213		Note =16,244,245 	272	*iiʔba		Swadesh
640	PBoM	iʔganoo	LIVER  	214			273	*iʔganoo	*(mé)-íʔgá-neé	Leipzig-Jakarta, Swadesh
641	Bora	íʔkʷáneé	LIVER  	214			273	*iʔganoo		Leipzig-Jakarta, Swadesh
642	Muinane	ígano 	LIVER  	214			273	*iʔganoo		Leipzig-Jakarta, Swadesh
643	PBoM	adu	DRINK  	215			274	*adu	*ado {231}, (ádɯkɯ́nɯ)	Leipzig-Jakarta, Swadesh
644	Bora	ato	DRINK  	215			274	*adu		Leipzig-Jakarta, Swadesh
645	Muinane	ádu- 	DRINK  	215		Note: see 231 	274	*adu		Leipzig-Jakarta, Swadesh
646	PBoM	maʧʧu	EAT (NON MEAT)  	216			275	*maʧʧu	*doó-(ʔi) {meat}, *geéne {fruit}, *maččo {164}	Leipzig-Jakarta, Swadesh
647	Bora	mahʧʰoó	EAT (NON MEAT)  	216			275	*maʧʧu		Leipzig-Jakarta, Swadesh
648	Muinane	maʧʧú 	EAT (NON MEAT)  	216		Note =230 	275	*maʧʧu		Leipzig-Jakarta, Swadesh
649	PBoM	eeʔdu-	BITE  	217			276	*eeʔdu-	*ɨɨʔdo, (dɨgɯ́kkɯ), (denókko), (dɨ́geʔxɯ́kɯ)	Leipzig-Jakarta, Swadesh
650	Bora	ɨʔto	BITE  	217			276	*eeʔdu-		Leipzig-Jakarta, Swadesh
651	Muinane	éédu- 	BITE  	217			276	*eeʔdu-		Leipzig-Jakarta, Swadesh
652	PBoM	aittɨme	SEE  	218			277	*aittɨme	*aittɯ́mɨ(ɨɨ́té), (mɨ́ɨkkɯ), (dɯ́xɯɯ́), (ɯɯ́xe)	Leipzig-Jakarta, Swadesh
653	Bora	ahtʰʲɯ́mɨ	SEE  	218			277	*aittɨme		Leipzig-Jakarta, Swadesh
654	Muinane	áttʲɨ́me- 	SEE  	218		Note cf. 450 	277	*aittɨme		Leipzig-Jakarta, Swadesh
655	PBoM	goobu-	HEAR  	219			278	*goobu-	*geébo, (…)	Leipzig-Jakarta, Swadesh
656	Bora	ʧeépo	HEAR  	219			278	*goobu-		Leipzig-Jakarta, Swadesh
657	Muinane	gúúbu- 	HEAR  	219			278	*goobu-		Leipzig-Jakarta, Swadesh
658	PBoM	gaaha	KNOW  	220			279	*gaaha	*gaaxá(kɯ), (piiβéte)	Leipzig-Jakarta, Swadesh
659	Bora	kʷaahákʰɯ	KNOW  	220			279	*gaaha		Leipzig-Jakarta, Swadesh
660	Muinane	gááha- 	KNOW  	220			279	*gaaha		Leipzig-Jakarta, Swadesh
661	PBoM	kɨga	SLEEP  	221			280	*kɨga	*kɯga	Swadesh
662	Bora	kʰɯkʷa	SLEEP  	221			280	*kɨga		Swadesh
663	Muinane	kɨ́ga- 	SLEEP  	221		Note =79, 81, 232 	280	*kɨga		Swadesh
664	PBoM	gihe-βo	DIE  	222			281	*gihe-βo	*gɨxɨ́-βe, (čééme), (…)	Swadesh
665	Bora	ʦɨhɨ́-βe 	DIE  	222	death-vblz		281	*gihe-βo		Swadesh
666	Muinane	gíhé-βe-ʔi 	DIE  	222	death-vblz 		281	*gihe-βo		Swadesh
667	PBoM	gɨhe-βo-ʦu	KILL 	223			282	*gɨhe-βo-ʦu	*gɨ́xɨ-βé-ʦo, *gɨ́xɨ-(nɯ), (gáikkáao), (gáiɯɯʔáro), (…)	
668	Bora	ʦɨ́hɨ-βé-ʦʰo 	KILL 	223	dead-vblz-caus		282	*gɨhe-βo-ʦu		
669	Muinane	gíhéβesu-ʔi 	KILL 	223	dead-vblz-caus 		282	*gɨhe-βo-ʦu		
670	PBoM	iʦʦi	SWIM  	224			283	*iʦʦi	*itʦi	Swadesh
671	Bora	ihʧʰi	SWIM  	224			283	*iʦʦi		Swadesh
672	Muinane	ísi- 	SWIM  	224			283	*iʦʦi		Swadesh
673	PBoM	gaʔpo	FLY  	225			284	*gaʔpo	*gaʔape, (gaaméne)	Leipzig-Jakarta, Swadesh
674	Bora	kʷaʔpʰe	FLY  	225			284	*gaʔpo		Leipzig-Jakarta, Swadesh
675	Muinane	gáʔáɸe-ʔi 	FLY  	225			284	*gaʔpo		Leipzig-Jakarta, Swadesh
676	PBoM	ɨgo, poo	WALK  	226			285	*ɨgo, *poo	*ɯge, (tadɯ́ʔkɯ), (rixákko), (peé)	Swadesh
677	Bora	ɯʧe, pʰeé	WALK  	226			285	*ɨgo, *poo		Swadesh
678	Muinane	ɨ́ge-ʔi, ɸée-ʔi 	WALK  	226	go, ɸúu-ʔi 		285	*ɨgo, *poo		Swadesh
679	PBoM	ʦaa-	COME  	227			286	*ʦaa-	*ʦaá-(pé), (náʔxɨʔe)	Leipzig-Jakarta, Swadesh
680	Bora	ʦʰaá	COME  	227			286	*ʦaa-		Leipzig-Jakarta, Swadesh
681	Muinane	sáá-ʔi 	COME  	227			286	*ʦaa-		Leipzig-Jakarta, Swadesh
682	PBoM	akkɨ	GIVE  	228			290	*akkɨ	*akkɯ, (éxekkáǰo, éxekkáigo)	Leipzig-Jakarta, Swadesh
683	Bora	ahkʰɯ	GIVE  	228			290	*akkɨ		Leipzig-Jakarta, Swadesh
684	Muinane	ákkɨ-ʔi 	GIVE  	228			290	*akkɨ		Leipzig-Jakarta, Swadesh
685	PBoM	hɨɨb()go,noo	SAY  	229			291	*hɨɨb()go,*noo	*xɯɯb(ái)ge, *neé, (iʔxɯ́βa)	Leipzig-Jakarta, Swadesh
686	Bora	ɯɯpáʧe, neé	SAY  	229			291	*hɨɨb()go,*noo		Leipzig-Jakarta, Swadesh
687	Muinane	hɨ́ɨ́bege-ʔi, néé-ʔi 	SAY  	229			291	*hɨɨb()go,*noo		Leipzig-Jakarta, Swadesh
688	PBoM	gahɨɨ,baaɨɨ	MOUNTAIN  	230			293	*gahɨɨ,*baaɨɨ	*gáxɯɯ́, *káme-(βo)-gáxɯ, *báaɯɯ́, *káme-(βo)-ʔbáaɯ {151}	Swadesh
689	Bora	kʷáhɯɯ́, páɯɯ́	MOUNTAIN  	230			293	*gahɨɨ,*baaɨɨ		Swadesh
690	Muinane	gáhɨ, báaɨ 	MOUNTAIN  	230		Note: see 151 	293	*gahɨɨ,*baaɨɨ		Swadesh
691	PBoM	tɨ-ppai-no	RED  	231			294	*tɨ-ppai-no	*tɯ́-ppai-ne {33,266}	Leipzig-Jakarta, Swadesh
692	Bora	tʰɯ́-hpʰa-ɲe 	RED  	231	red-liquid-inan 	see 33,26’	294	*tɨ-ppai-no		Leipzig-Jakarta, Swadesh
693	Muinane	tɨ́-ɸai-ɲo 	RED  	231		see 33,26’ 	294	*tɨ-ppai-no		Leipzig-Jakarta, Swadesh
694	PBoM	aittɨβa	GREEN  	232			295	*aittɨβa	*aittɯ́βá-ne	Swadesh
695	Bora	ahtʰʲɯ́βa	GREEN  	232			295	*aittɨβa		Swadesh
696	Muinane	attʲɨ́βa-no 	GREEN  	232			295	*aittɨβa		Swadesh
697	PBoM	gi()	YELLOW  	233			296	*gi()	*gíí(-giβa)-ne, *gí(-kká)-ne-(ɯ́βɯ)	Swadesh
698	Bora	ʧíhkʰʲáneɯ́βɯ́	YELLOW  	233			296	*gi()		Swadesh
699	Muinane	gíígiβano 	YELLOW  	233			296	*gi()		Swadesh
700	PBoM	gaʔpo	FULL  	234			297	*gaʔpo	*gaʔape-né, *(ʦane) gáʔap(é) (k)kɯnɯ́-né, (gáíttóokɯ)	Swadesh
701	Bora	kʷaʔpʰe	FULL  	234			297	*gaʔpo		Swadesh
702	Muinane	gáʔáɸo-no 	FULL  	234		Note =471 	297	*gaʔpo		Swadesh
703	PBoM	boʔ-no	NEW  	235			298	*boʔ-no	*béʔe-ne	Leipzig-Jakarta, Swadesh
704	Bora	péʔ-ne	NEW  	235			298	*boʔ-no		Leipzig-Jakarta, Swadesh
705	Muinane	bóʔo-no 	NEW  	235			298	*boʔ-no		Leipzig-Jakarta, Swadesh
706	PBoM	momo	NAME  	236			301	*momo	*meme	Leipzig-Jakarta, Swadesh
707	Bora	meme	NAME  	236			301	*momo		Leipzig-Jakarta, Swadesh
708	Muinane	mómo 	NAME  	236			301	*momo		Leipzig-Jakarta, Swadesh
709	PBoM	mɨʔ()ɨ	HOW 	237			302	*mɨʔ()ɨ	*mɯʔ(ǰ)ɯ, *mɯʔ(d)ɯ, (kébádɯ)	
710	Bora	mɯʔtɯ	HOW 	237			302	*mɨʔ()ɨ		
711	Muinane	mɨ́ʤɨ 	HOW 	237			302	*mɨʔ()ɨ		
712	PBoM	hi-noo-ri	HERE 	238			305	*hi-noo-ri	*(xóó-ga-βɯ), (ximáine), (íígeé), (íʦii, íčii), *xíneé-ri, *xíneé-(βɯ)	
713	Bora	í-ɲeé-ri 	HERE 	238	here-inan-loc		305	*hi-noo-ri		
714	Muinane	hi-néé-ri 	HERE 	238			305	*hi-noo-ri		
715	PBoM	oo-no	THERE 	239			306	*oo-no	(xaʔɯ), (taʔɯ), (eene), (omaina), (eʔ-gee), (éʔ-ʦíií), (té-ʦii), (téʔɯge)	
716	Bora	éé-ne 	THERE 	239	there-inan		306	*oo-no		
717	Muinane	óó-no 	THERE 	239			306	*oo-no		
718	PBoM	ʦi-ppi	OTHER 	240			307	*ʦi-ppi	*ʦi-ppi {masc}, *ʦí-(ppi-ge), *ʦií-(ne), *ʦi-	
719	Bora	ʦʰi-hpʰi 	OTHER 	240	other-masc.sg		307	*ʦi-ppi		
720	Muinane	sí-ɸi 	OTHER 	240			307	*ʦi-ppi		
721	PBoM	tʦu-	FOG 	241			309	*tʦu-	*(o)tʦo-(ɯ), (áimóo-ppaiko) {59,247,248}	
722	Bora	ohʦʰó 	FOG 	241	smoke		309	*tʦu-		
723	Muinane	súɨ 	FOG 	241			309	*tʦu-		
724	PBoM	niiβa	FLOW 	242			310	*niiβa	(gaápe), (niiβa), (koo)	
725	Bora	niiβa	FLOW 	242			310	*niiβa		
726	Muinane	niiβa-ʔi 	FLOW 	242			310	*niiβa		
727	PBoM	muuai	SEA 	243			311	*muuai	*moóai, (ɨ́ɨ́βámɯ́ dokó-ppáiko)	
728	Bora	moóa	SEA 	243			311	*muuai		
729	Muinane	múúai 	SEA 	243		Note =49,379 	311	*muuai		
730	PBoM	peepai-no, maa- 	WET 	244			312	*peepai-no, *maa-	(pɨ́ɨ́-ppai-ne), (mááí-ne), (mɯrííβe), (maxááβe), (reʔre), (ɯɯ́rɯ), (ɯɯrɯ́βe), (rerékkɯ)	
731	Bora	mahááβe, pʰɨ́ɨ́pʰá-ɲe 	WET 	244	moist-inan		312	*peepai-no, *maa-		
732	Muinane	mááɲo, ɸééɸa-ɲo 	WET 	244		Note: see 403 	312	*peepai-no, *maa-		
733	PBoM	nittɨ-	WASH 	245			313	*nittɨ-	*nittɯ́-(kɯ), (gáiʦáiʦaʔxɯ́kɯ, gáčáčaʔxɯ́kɯ), (íǰoáko), (íbɯ́nɯáko)	
734	Bora	nihtʰʲɯ	WASH 	245			313	*nittɨ-		
735	Muinane	níttɨ-ʔi 	WASH 	245		Note: see 482 	313	*nittɨ-		
736	PBoM	hɨʔba	WORM 	246			314	*hɨʔba	*xɯ(ʔ)ɯ́ba, (čéʔói, čóʔói), (áppaiko), (…)	
737	Bora	ɯɯ́pa	WORM 	246			314	*hɨʔba		
738	Muinane	hɨ́ʔɨba 	WORM 	246			314	*hɨʔba		
739	PBoM	iʔhe-	FUR 	247			316	*iʔhe-	*ɨ́ʔxɨ́-(ʔono), *ɨ́ʔxɨ-(xɨ)	
